RANK	OYUNCU	UYR	TAKIM	POZ	GEN	HIZ	ŞUT	PAS	DRİ	DEF	FİZ
34	Lautaro Martínez	Arjantin	Lombardia FC	SNT	88	81	88	75	84	51	83
47	Alessandro Bastoni	İtalya	Lombardia FC	STP	87	74	46	75	76	88	82
51	Kevin De Bruyne	Belçika	SSC Napoli	MO	87	66	83	92	84	65	72
58	Yann Sommer	İsviçre	Lombardia FC	KL	87	83	82	85	89	50	87
70	Mike Maignan	Fransa	Milano FC	KL	87	84	83	85	88	64	84
77	Nicolò Barella	İtalya	Lombardia FC	MO	87	80	78	84	86	81	76
87	Paulo Dybala	Arjantin	AS Roma	MOO	86	80	85	84	87	41	64
93	Hakan Çalhanoğlu	Türkiye	Lombardia FC	MDO	86	71	81	87	82	81	73
107	Federico Dimarco	İtalya	Lombardia FC	SLB	85	80	78	84	82	79	77
108	Scott McTominay	İskoçya	SSC Napoli	MO	85	76	82	77	80	80	85
127	Marcus Thuram	Fransa	Lombardia FC	SNT	85	86	83	76	82	50	80
133	De Gea	İspanya	Fiorentina	KL	85	85	78	71	87	46	84
157	Bremer	Brezilya	Juventus	STP	85	82	50	58	66	86	80
174	Denzel Dumfries	Hollanda	Lombardia FC	SĞB	84	84	70	75	79	79	84
197	Mattia Zaccagni	İtalya	Latium	SLO	84	88	78	77	87	57	66
209	Manuel Locatelli	İtalya	Juventus	MDO	84	63	69	80	76	81	78
210	Christian Pulisic	Amerika Birleşik Devletleri	Milano FC	SĞK	84	88	82	80	86	46	65
215	Marco Carnesecchi	İtalya	Bergamo Calcio	KL	84	86	83	71	86	30	85
217	Rafael Leão	Portekiz	Milano FC	SLK	84	93	78	80	86	28	75
219	Romelu Lukaku	Belçika	SSC Napoli	SNT	84	79	82	75	75	41	84
224	Ademola Lookman	Nijerya	Bergamo Calcio	SNT	84	86	84	73	88	32	67
231	Francesco Acerbi	İtalya	Lombardia FC	STP	84	57	50	65	65	87	81
232	Stefan de Vrij	Hollanda	Lombardia FC	STP	84	62	41	68	69	86	74
234	Adrien Rabiot	Fransa	Milano FC	MOO	83	81	79	81	80	77	84
237	Henrikh Mkhitaryan	Ermenistan	Lombardia FC	MO	83	77	78	82	83	72	75
241	Giovanni Di Lorenzo	İtalya	SSC Napoli	SĞB	83	84	72	73	77	79	80
267	Stanislav Lobotka	Slovakya	SSC Napoli	MO	83	71	69	80	82	76	71
273	Luka Modrić	Hırvatistan	Milano FC	MO	83	68	74	86	86	70	62
283	Loïs Openda	Belçika	Juventus	SNT	83	95	81	69	81	31	80
295	Artem Dovbyk	Ukrayna	AS Roma	SNT	83	83	84	68	78	34	79
299	Moise Kean	İtalya	Fiorentina	SNT	83	86	82	58	81	40	74
309	Gianluca Mancini	İtalya	AS Roma	STP	83	70	50	57	64	85	82
